,Error,Stock,Method,iSimul
593,0.24284496279746234,S13,PCA,7
594,0.22935822944741455,S14,PCA,7
595,0.31409353929881195,S15,PCA,7
596,0.3929393467359572,S16,PCA,7
597,0.23085468075126617,S17,PCA,7
598,0.3261048728407161,S18,PCA,7
599,0.2588650333622484,S19,PCA,7
600,0.0751936725179408,S0,Linear,7
601,0.034303821722288415,S1,Linear,7
602,0.06968763521154896,S2,Linear,7
603,0.15058977549640998,S3,Linear,7
604,0.11756631698857789,S4,Linear,7
605,0.11092393589065598,S5,Linear,7
606,0.0835485174897812,S6,Linear,7
607,0.059112199895017675,S7,Linear,7
608,0.07803167310600952,S8,Linear,7
609,0.04552757951219195,S9,Linear,7
610,0.03613875483288784,S10,Linear,7
611,0.09891352021197888,S11,Linear,7
612,0.12231098632923545,S12,Linear,7
613,0.014399960672458825,S13,Linear,7
614,0.0535531730056538,S14,Linear,7
615,0.09641584409016835,S15,Linear,7
616,0.13243601583729883,S16,Linear,7
617,0.01834788957052167,S17,Linear,7
618,0.10058311557256185,S18,Linear,7
619,0.03169414777742111,S19,Linear,7
620,2.2090928580695732,S0,Ano,7
621,2.2821718909277444,S1,Ano,7
622,2.9506105869204045,S2,Ano,7
623,2.308800776773353,S3,Ano,7
624,3.443097940894996,S4,Ano,7
625,2.6477455557897267,S5,Ano,7
626,2.7857004485632,S6,Ano,7
627,2.9276967601146633,S7,Ano,7
628,2.0034289700706314,S8,Ano,7
629,3.141729628233498,S9,Ano,7
630,2.644464564174196,S10,Ano,7
631,3.0161590766570816,S11,Ano,7
632,2.885716181381584,S12,Ano,7
633,2.697533120469428,S13,Ano,7
634,1.990814891953292,S14,Ano,7
635,1.5959030493630721,S15,Ano,7
636,2.5189217480604045,S16,Ano,7
637,2.773230732736546,S17,Ano,7
638,2.6928998718243213,S18,Ano,7
639,2.6758936771878465,S19,Ano,7
640,0.20006400310142233,S0,BF,8
641,0.03585202595611019,S1,BF,8
642,0.23495348977890324,S2,BF,8
643,0.15806925514218265,S3,BF,8
644,0.1106837344499403,S4,BF,8
645,0.08813086265303774,S5,BF,8
646,0.08520375923918687,S6,BF,8
647,0.09258923800508845,S7,BF,8
648,0.10810608628629693,S8,BF,8
649,0.05912767436254041,S9,BF,8
650,0.04777046100981051,S10,BF,8
651,0.11284280836031782,S11,BF,8
652,0.14659428296313878,S12,BF,8
653,0.025314976592326847,S13,BF,8
654,0.07541353671648879,S14,BF,8
655,0.1257353827900963,S15,BF,8
656,0.27329419762743273,S16,BF,8
657,0.08834627973826045,S17,BF,8
658,0.17143864254402522,S18,BF,8
659,0.01829154824981437,S19,BF,8
660,0.15425063805214365,S0,PCA,8
661,0.20805285330319354,S1,PCA,8
662,0.3912981061272694,S2,PCA,8
663,0.2660308397690887,S3,PCA,8
664,0.191403140044387,S4,PCA,8
665,0.3167155123056486,S5,PCA,8
666,0.2218952380540294,S6,PCA,8
667,0.31206427877315396,S7,PCA,8
668,0.2997907909574412,S8,PCA,8
669,0.27002623174093404,S9,PCA,8
670,0.26804516940572065,S10,PCA,8
671,0.2070802720906176,S11,PCA,8
672,0.1832142924682412,S12,PCA,8
673,0.23128248297402046,S13,PCA,8
674,0.06260855429549479,S14,PCA,8
675,0.23121435916846134,S15,PCA,8
676,0.23068967217454045,S16,PCA,8
677,0.2372011090980148,S17,PCA,8
678,0.3042886148722232,S18,PCA,8
679,0.27552410529274346,S19,PCA,8
680,0.12966732917833007,S0,Linear,8
681,0.026052169601403635,S1,Linear,8
682,0.22175501580625706,S2,Linear,8
683,0.1944122730402754,S3,Linear,8
684,0.08551038905343138,S4,Linear,8
685,0.06291588170485027,S5,Linear,8
686,0.06125711479116499,S6,Linear,8
687,0.08714259141482504,S7,Linear,8
688,0.05256479890456525,S8,Linear,8
689,0.0727782566106973,S9,Linear,8
690,0.04591511372387204,S10,Linear,8
691,0.12586314914332067,S11,Linear,8
692,0.13491476059231833,S12,Linear,8
693,0.017269581928442183,S13,Linear,8
694,0.0546727692143083,S14,Linear,8
695,0.13064762716659714,S15,Linear,8
696,0.12057446336242184,S16,Linear,8
697,0.075112140669074,S17,Linear,8
698,0.11012752652161177,S18,Linear,8
699,0.015559144632681078,S19,Linear,8
700,1.3114070333220065,S0,Ano,8
701,2.3255315649071395,S1,Ano,8
702,2.4587014486356935,S2,Ano,8
703,2.1175207977835773,S3,Ano,8
704,2.483039470010055,S4,Ano,8
705,2.751319638226587,S5,Ano,8
706,2.9640880107211376,S6,Ano,8
707,1.8504071420803399,S7,Ano,8
708,1.770611710196163,S8,Ano,8
709,2.344353584037562,S9,Ano,8
