,Error,Method,iSimul
415,0.0044778303066271685,Ano,83
416,0.0019391030660304625,PCA,83
417,0.0019878365772573203,Linear,83
418,0.0019748997158427553,BF,83
419,0.002022167530835466,Clean,83
420,0.003977031186388258,Ano,84
421,0.001215442103235487,PCA,84
422,0.0012501867544482985,Linear,84
423,0.0012517059629281312,BF,84
424,0.001257210536775738,Clean,84
425,0.0040999536822272035,Ano,85
426,0.0014571442650836318,PCA,85
427,0.0013937475816410616,Linear,85
428,0.001404823529145264,BF,85
429,0.001411844814211284,Clean,85
430,0.004369568053298186,Ano,86
431,0.0016150802030596874,PCA,86
432,0.0015847505971757856,Linear,86
433,0.0015594817218571452,BF,86
434,0.0015775906564553992,Clean,86
435,0.00414021791852886,Ano,87
436,0.0015038346051577142,PCA,87
437,0.0014830893942126095,Linear,87
438,0.0015303182804020515,BF,87
439,0.001468387700299639,Clean,87
440,0.004204705567759631,Ano,88
441,0.0016000263094682848,PCA,88
442,0.0015270390854171534,Linear,88
443,0.0015067052303849033,BF,88
444,0.001505159239254726,Clean,88
445,0.004925866071129689,Ano,89
446,0.0013078360595041804,PCA,89
447,0.0012563636368680229,Linear,89
448,0.0012528569356839614,BF,89
449,0.0012722698122732115,Clean,89
450,0.004536437555824051,Ano,90
451,0.0014637253281208455,PCA,90
452,0.0014420308540070929,Linear,90
453,0.0014514449002556128,BF,90
454,0.001442390232311196,Clean,90
455,0.004085437890247914,Ano,91
456,0.0014391091479510638,PCA,91
457,0.0014918094147408772,Linear,91
458,0.001498374131890883,BF,91
459,0.0015327916621960518,Clean,91
460,0.004050901830548601,Ano,92
461,0.0015980796175345754,PCA,92
462,0.0016462875199322257,Linear,92
463,0.0016425858734757139,BF,92
464,0.001629502786202345,Clean,92
465,0.003895070741913745,Ano,93
466,0.0018375611239479094,PCA,93
467,0.0018657530726106219,Linear,93
468,0.0018620785796576989,BF,93
469,0.0018270885598394332,Clean,93
470,0.004235414577228881,Ano,94
471,0.0016026568829904718,PCA,94
472,0.0016250688113415214,Linear,94
473,0.001622853780719587,BF,94
474,0.0016098434184442362,Clean,94
475,0.0038732903973103076,Ano,95
476,0.0016472801095588883,PCA,95
477,0.0015960898568214458,Linear,95
478,0.0016177937588561,BF,95
479,0.0015592183202461757,Clean,95
480,0.004237710169321364,Ano,96
481,0.0015582906611763645,PCA,96
482,0.0015632294694485351,Linear,96
483,0.0015417537052316568,BF,96
484,0.0015631252263060289,Clean,96
485,0.004342867007541791,Ano,97
486,0.001605462838460414,PCA,97
487,0.0016420436042222312,Linear,97
488,0.0016339725550986494,BF,97
489,0.0016763357821910246,Clean,97
490,0.004071466272461151,Ano,98
491,0.0014024637455986822,PCA,98
492,0.00135775134359535,Linear,98
493,0.0013091824507626582,BF,98
494,0.0013726184657913934,Clean,98
495,0.0038032009404795107,Ano,99
496,0.0014477614536693014,PCA,99
497,0.0014227262643009247,Linear,99
498,0.0014000004313447648,BF,99
499,0.0014413431978742564,Clean,99
